user,trip,overspeed,accel,decel,stop,start,dist,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600409605890 ,1247,67,20,6,25,43792.94,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600493124504 ,381,190,54,18,49,109996.06,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600669796742 ,810,127,38,12,41,63510.164,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600754747899 ,821,134,47,9,59,89618.055,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600840863411 ,354,92,25,10,38,60570.266,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600852762803 ,507,35,8,3,8,18249.465,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1600927416705 ,742,152,51,15,61,82030.586,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601014574904 ,2978,149,25,10,59,87292.13,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601096674226 ,1355,131,34,11,42,94525.07,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601116061128 ,967,4,0,0,1,12583.477,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601275358965 ,488,208,64,16,77,116963.41,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601332068182 ,1729,28,2,0,13,17748.018,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601350829204 ,1246,26,8,1,2,21638.791,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601359544812 ,618,131,33,8,48,86415.13,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601445036810 ,233,3,3,0,2,19496.63,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601450941621 ,1393,45,24,4,14,129686.95,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601883869548 ,1540,144,63,16,60,80109.53,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601913611775 ,1845,18,8,4,7,13280.428,,,,,,
3Jo9e4CvXBSqdHCpnnvSYJgiE5r2,1601966163168 ,677,180,69,12,79,123051.78,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1597910750234 ,290,18,4,0,5,33848.99,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1597977950883 ,97,14,7,2,4,28145.94,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1597997248287 ,404,17,10,3,2,13114.986,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598257085689 ,173,55,18,5,10,44018.855,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598315983023 ,670,12,5,1,5,25446.043,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598324015050 ,500,16,6,0,4,19425.174,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598330129434 ,853,12,3,1,6,13014.449,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598339893995 ,727,10,5,1,4,10892.776,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598345170544 ,722,35,12,4,11,28105.889,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598354201421 ,748,25,8,2,10,40597.754,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598408700031 ,447,21,10,2,5,43452.26,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598426872152 ,177,5,2,2,5,13600.12,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598432045391 ,1720,14,7,0,5,23201.781,,,,,,
3l5xQKIgPlY0N3pvkMUZxafocpD2,1598499197045 ,528,18,10,3,7,23027.078,,,,,,
